0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.1	0.1	0.075	0.275	0.275
0.475	0.475	0.475	0.475	0.45	0.45	0.475	0.475	0.475	0.475	0.475	0.475
0.475	0.475	0.475	0.475	0.45	0.45	0.475	0.475	0.475	0.475	0.475	0.475
0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.1	0.1	0.075	0.275	0.275
0.25	0.25	0.25	0.25	0.3	0.3	0.25	0.375	0.375	0.25	0.275	0.275
0.25	0.25	0.25	0.25	0.3	0.3	0.25	0.375	0.375	0.25	0.275	0.275
0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.1	0.1	0.075	0.275	0.275
0.375	0.35	0.35	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.4	0.4
0.375	0.35	0.35	0.375	0.375	0.375	0.375	0.375	0.375	0.375	0.4	0.4
0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.1	0.1	0.075	0.275	0.275
0.35	0.25	0.25	0.35	0.225	0.225	0.35	0.325	0.325	0.35	0.35	0.35
0.35	0.25	0.25	0.35	0.225	0.225	0.35	0.325	0.325	0.35	0.35	0.35
